Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿192,65649.227155,2762.27533,6.466667,COLLISION_WITH_NavModifierVolume53,LAZY,30
﻿193,4236.880947,688.41224,4.866667,COLLISION_WITH_NavModifierVolume23,LAZY,24
﻿194,71890.143625,81.455407,6.733333,COLLISION_WITH_NavModifierVolume53,LAZY,25
﻿195,44241.684719,1240.875802,5.9,COLLISION_WITH_NavModifierVolume53,LAZY,26
﻿196,54522.37261,-2836.607608,5.083333,COLLISION_WITH_BP_IntersectionBorder46,LAZY,30
﻿197,13885.930466,1792.688114,5.25,CORRECTINGWRONG,LAZY,24
﻿198,20853.967993,1278.589201,4.45,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿199,72618.510129,858.820621,6.5,COLLISION_WITH_NavModifierVolume53,LAZY,29
﻿200,4440.322141,1190.500273,4.75,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿201,20094.646663,2137.986071,5.566667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿202,21157.075176,863.686283,4.866667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿203,60370.145897,-825.430374,5.4,COLLISION_WITH_NavModifierVolume35,LAZY,22
﻿204,14500.307475,-1996.199269,6.083333,COLLISION_WITH_NavModifierVolume2,LAZY,30
﻿205,15181.36379,2025.257814,5.55,COLLISION_WITH_NavModifierVolume23,LAZY,27
﻿206,19555.051694,1736.535761,5.433333,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿207,22204.180841,1714.364341,5.016667,COLLISION_WITH_NavModifierVolume2,LAZY,25
﻿208,14572.910824,1101.359142,7.483333,COLLISION_WITH_NavModifierVolume23,LAZY,21
﻿209,22780.270693,-251.121409,3.966667,COLLISION_WITH_NavModifierVolume8,LAZY,27
﻿210,21131.290737,882.661649,4.216667,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿211,75091.862559,-1634.030258,6.05,COLLISION_WITH_BP_IntersectionBorder124,LAZY,33
﻿212,18035.828268,1924.105651,4.883333,COLLISION_WITH_NavModifierVolume12,LAZY,31
﻿213,77402.3659,3524.103995,8.9,COLLISION_WITH_NavModifierVolume2,LAZY,27
﻿214,16695.881083,-24.545528,4.916667,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿215,199363.524348,-7069.828699,6.666667,COLLISION_WITH_NavModifierVolume43,LAZY,26
﻿216,14204.04641,991.853008,8.316667,COLLISION_WITH_NavModifierVolume30,LAZY,18
﻿217,68753.53029,-556.519583,5.916667,COLLISION_WITH_BP_IntersectionBorder123,LAZY,26
﻿218,8695.346917,501.203698,5.45,COLLISION_WITH_BP_IntersectionBorder11,LAZY,29
﻿219,67990.058714,-922.679354,5.666667,COLLISION_WITH_NavModifierVolume53,LAZY,32
﻿220,76477.073676,-3074.537912,6.616667,COLLISION_WITH_NavModifierVolume18,LAZY,27
﻿221,19421.622646,2097.943154,5.25,COLLISION_WITH_BP_IntersectionBorder36,LAZY,27
﻿222,115103.764653,-2242.292542,5.933333,CORRECTINGWRONG,LAZY,24
﻿223,20724.439918,1958.775546,5.2,COLLISION_WITH_BP_IntersectionBorder36,LAZY,24
﻿224,18128.434556,1942.42409,6.433333,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿225,88318.410272,-1453.533209,6.016667,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿226,149932.496901,-5418.619862,7.033333,COLLISION_WITH_NavModifierVolume42,LAZY,27
﻿227,12220.436678,-666.613187,6.166667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿228,15790.466272,708.033828,5.616667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿229,145918.353175,-7660.002297,6.616667,COLLISION_WITH_BP_IntersectionBorder123,LAZY,29
﻿230,7987.668462,84.09037,5.016667,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿231,16014.321977,-1045.121787,4.95,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿232,113913.895676,-2697.750746,5.666667,CORRECTINGWRONG,LAZY,24
