Generation BestFit MeanFit BestFitMA MeanFitMA
167 3669.274134 15606.172568 5908.5493294666621 14861.8191313333
168 3605.641027 15409.905473 5907.031838199995 14804.222728833302
169 3645.537514 10759.723365 5675.4015653666611 14476.031167699968
170 3727.200995 15696.537877 5681.1926015333274 14557.557114933303
171 10768.407902 14110.73213 5918.6897367999936 14590.099795866638
172 10325.134318 16192.351072 6141.9673335333264 14595.440370166638
173 3601.32484 10790.111762 6141.55841626666 14391.450602899971
174 3748.077865 20010.312454 6150.0103825999931 14698.497064366638
175 12664.828643 11168.388359 6450.9401626999925 14507.868397966637
176 3586.72132 12160.607125 6449.51764476666 14525.168439333302
177 3629.595285 16475.560086 6449.919333933326 14567.427457833302
178 3629.100804 14047.436846 6450.7183268333256 14428.995941133302
179 3620.90023 16694.297296 6452.3016785666587 14533.565530766637
180 3569.195903 16542.956868 5112.3254763999912 14503.763575866637
181 3544.428024 10743.700509 5110.3183595999908 14475.631401933302
182 3803.818294 15792.08178 4872.0255447333238 14489.085635733303
183 3591.326293 12768.378755 4873.7303449999908 14390.855554566637
184 3591.659247 13955.699582 4870.110942099991 14518.297173766636
185 3553.037396 14144.940291 4867.611821166658 14416.886788166636
186 3696.231317 13762.603265 4871.1718037333239 14324.976267899969
187 3615.405687 13256.339949 4873.4175741333247 14271.581945033302
188 3631.50223 15326.848308 4871.737912299991 14392.696722466637
189 3596.252933 12514.148925 4870.6567696666589 14381.07094019997
190 3661.180009 19898.425315 4874.3613746999918 14556.932894066636
191 3558.131112 12348.00611 4875.5231802333255 14523.918072233302
192 3613.563801 17387.751284 4873.0632113999918 14698.769571366636
193 3599.491235 16244.107578 4631.3477482666585 14650.517812566635
194 3681.234541 11497.515523 4387.8253912999917 14581.465737066635
195 3588.254078 14085.221672 4388.9811949333243 14451.768574533304
196 3541.013811 17020.28274 4388.5823595999918 14547.038162233303
197 3530.259772 14700.403858 4383.948547533324 14516.84587189997
198 3663.314001 12325.669077 4385.8709799999906 14414.037992033302
199 3647.705602 16489.700179 4385.9432495999908 14605.037219166636
200 3634.278942 11159.800653 4382.8458478333241 14453.812645033302
201 3613.809366 16533.302207 4144.3592299666579 14534.564980933303
202 12601.702717 16939.595483 4220.2448432666579 14559.473127966636
203 3610.588272 11885.623452 4220.5536243333245 14595.99018429997
204 3568.947481 11055.47961 4214.5826115333239 14297.495756166636
205 3586.332388 14175.798643 3911.9660696999908 14397.742765633304
206 3660.191583 12665.448197 3914.4150784666576 14414.570801366639
207 3622.295985 14923.455341 3914.1717684666578 14362.833976533304
208 3580.387353 17915.377417 3912.5479867666577 14491.76532889997
209 3598.844953 14579.160273 3911.8128108666579 14421.260761466638
210 3680.308132 13727.781061 3915.5165518333247 14327.421567899972
211 3655.199841 10692.355256 3919.208945733325 14325.710059466639
212 3557.986404 11441.706367 3911.0145493999912 14180.697545699973
213 3688.997093 12452.236806 3914.2702427333247 14170.159480733306
214 43203.56972 21140.903469 5234.6672584999915 14409.66627696664
215 3590.774143 15924.562968 5235.9251500666578 14468.98703286664
216 3622.748957 18269.353907 5233.4757380666579 14619.212054266642
217 3607.018673 13278.73016 5233.1961709333254 14619.958394633308
218 3691.653485 17303.911027 5235.2012127666576 14685.860485266639
219 3580.637599 16094.574176 5234.6807016333241 14805.207993633308
220 3608.331041 13710.490343 5232.9190693666578 14598.94349456664
221 3634.022516 14667.332001 5235.448782833324 14676.254357599973
222 3673.116276 18149.561053 5237.4338653333234 14701.64801656664
223 3570.594762 16059.166391 5236.4706495666569 14695.483310333306
224 3544.40542 14215.891287 5231.9096788666557 14786.095835799972
225 3654.397621 14110.475252 5234.1144636333229 14786.937621799971
226 3765.457915 17242.572879 5241.5959337666563 14794.347293099971
227 3591.431334 16979.898707 5243.6349858333233 14870.330454733305
228 3533.690523 13378.626891 5239.3142032333235 14905.429048533306
229 3576.807502 15805.615599 5236.9509332333237 14882.626229199972
230 3676.70366 13808.683052 5238.36509049999 14970.922309166639
231 3597.741871 18440.432391 5237.8295073333238 15034.493315299973
232 3615.552879 17047.918053 4938.29117939999 15038.104067633307
233 3591.81144 16370.614426 4937.66528499999 15187.603766766641
234 3548.705162 13593.116263 4936.9905410333222 15272.191655199975
235 3634.455526 14563.297789 4938.5946456333222 15285.108293399973
236 3590.115118 14027.251206 4936.2587634666552 15330.501727033306
237 3595.700627 18454.502521 4935.372251533322 15448.203299699971
238 3577.996299 16646.853913 4935.2925497333217 15405.91918289997
239 3512.925756 16829.307245 4932.4285764999895 15480.924081966636
240 3655.680665 15037.13381 4931.6076609333222 15524.569173599968
241 3617.076254 14657.144032 4930.3368746999895 15656.728799466633
242 3603.575946 15741.98689 4931.8565260999894 15800.071483566633
243 3656.654362 14872.778156 4930.7784350666561 15880.7561952333
244 3625.214148 14920.378418 3611.4999159999888 15673.405360199968
245 3563.017824 12316.309238 3610.5747053666555 15553.130235866634
246 3709.682366 15823.15138 3613.4724856666553 15471.590151633302
247 3603.363574 16045.213798 3613.350649033322 15563.806272899968
248 3638.099993 10548.070885 3611.5655326333217 15338.611601499968
249 3583.904647 9698.148496 3611.6744342333218 15125.397412166634
250 3659.517962 16368.5995 3613.3806649333219 15214.0010507333
251 3616.220189 14321.458924 3612.7872540333219 15202.471948166634
252 3555.547607 14420.160764 3608.8682983999888 15078.158605199969
253 4755.973237 14848.542364 3648.3809142333221 15037.804470966636
254 3659.250586 15521.173555 3652.2090864333222 15081.31387989997
255 3596.42721 11770.762534 3650.2767393999889 15003.323455966636
256 3525.527726 12303.729431 3642.279066433322 14838.695341033304
257 3600.293286 15974.875271 3642.5744648333221 14805.194559833304
258 3733.680781 12394.181916 3649.2408067666556 14772.379727333302
259 3590.395848 14177.134948 3649.6937516333223 14718.097038966636
260 3590.316581 15455.346664 3646.8141823333226 14772.985826033304
261 3531.479808 14212.129938 3644.6054468999891 14632.042410933303
262 3638.340032 16719.671427 3645.3650186666559 14621.100856733305
263 3482.680913 18188.998656 3641.7273344333225 14681.713664399973
264 3553.558384 14457.415878 3641.8891084999896 14710.523651566638
265 3631.410927 20524.567101 3641.7876218666561 14909.232628633305
266 3666.407789 13260.630539 3644.3307108999893 14883.678606399972
267 3570.2472 14297.478914 3643.4822633333229 14745.111152833304
268 3556.524737 14160.026703 3642.7665445999892 14662.216912499971
269 3624.864468 15452.161986 3646.4978349999892 14616.312070533306
270 12123.545457 16962.739981 3928.7599947333229 14680.498942899972
271 3573.940112 14468.887958 3927.3221233333229 14674.223740433306
272 3637.206042 12835.53604 3928.4431265333233 14577.342045433305
273 3526.770054 15556.694625 3924.1136495999895 14600.139261066639
274 3606.426062 17083.741488 3923.487380066656 14672.251363399972
275 3600.608919 16887.53374 3924.7404165666567 14824.625513466637
276 3663.825787 15365.277609 3923.211863933323 14809.363054433305
277 3636.033554 11348.062078 3924.3008632666561 14652.791330433303
278 3663.362165 14294.720419 3925.1429356666563 14777.679648233305
279 3619.591677 14604.185327 3926.3325033333231 14941.214209266638
280 3565.577973 18494.324235 3923.2011703666567 15012.071700433304
281 3601.877412 16182.058367 3922.72307779999 15074.091681866639
282 3642.132144 12754.682865 3925.6092290333236 15018.575751899971
283 3636.661485 16248.605429 3888.2988372999903 15065.244520733304
284 3517.630579 14360.287583 3883.5781703999905 15026.548321666638
285 3539.0547 12134.367563 3881.6657533999905 15038.668489299973
286 3613.652519 15787.960629 3884.6032464999903 15154.809529233306
287 3619.31922 15373.027873000001 3885.2374442999908 15134.747949299972
288 3594.90454 14366.457556 3880.6115695999906 15200.490470633305
289 3613.812862 7763.285666 3881.3921367333242 14986.695494566637
290 3662.591716 19966.147923 3883.8013078999907 15137.055536533302
291 3605.909182 14424.850996 3886.2822870333239 15144.146238466636
292 3595.815131 15526.58842 3884.8647903333235 15104.376804899968
293 3662.650716 17853.636664 3890.8637837666565 15093.1980718333
294 3576.700884 16187.66552 3891.6352004333235 15150.873059899965
295 3704.480918 14250.609554 3894.07086679999 14941.741141666633
296 3632.951136 15308.875038 3892.9556450333234 15010.015958299968
